category,ym,n,platform_n,share,month,seasonal_index,adj,roll_mean,roll_std,denom,z,shift,bad_rate
agro_industria_e_comercio,2018-07,29,6273,0.004622987406344652,7,1.0,0.004622987406344652,0.0019998425810849106,0.0010152551892674913,0.0010152551892674913,2.5837295420793125,SURGE,0.10344827586206896
alimentos,2018-03,33,7188,0.004590984974958264,3,1.5559154173965692,0.002950664877812006,0.004112291151836424,0.00013678393595945588,0.00013678393595945588,-8.492417372524914,COLLAPSE,0.21212121212121213
alimentos,2018-04,35,6934,0.005047591577732911,4,1.010708749264154,0.004994110896346556,0.0038118897815139323,0.0005896165041034237,0.0005896165041034237,2.0050678815891025,SURGE,0.08571428571428572
alimentos,2018-05,34,6853,0.004961330804027433,5,0.6961255452095909,0.007127063269217718,0.004022349915825077,0.0008460805359525555,0.0008460805359525555,3.669524615522818,SURGE,0.029411764705882353
artes,2018-04,26,6934,0.0037496394577444477,4,1.0,0.0037496394577444477,0.0014482495973545148,0.0008702928837315892,0.0008702928837315892,2.6443854746027253,SURGE,0.038461538461538464
artes,2018-05,35,6853,0.005107252298263534,5,1.0,0.005107252298263534,0.0022523024205388484,0.0011755456005563528,0.0011755456005563528,2.428616870645867,SURGE,0.2571428571428571
automotivo,2017-02,76,1733,0.04385458742065782,2,1.183011081672224,0.037070309906706844,0.04076207583600988,0.0012424636456280739,0.0012424636456280739,-2.971327122764082,COLLAPSE,0.13157894736842105
automotivo,2017-03,76,2641,0.02877697841726619,3,0.9785037124864258,0.029409166311840023,0.03953148719290887,0.002305407378521477,0.002305407378521477,-4.390686425043271,COLLAPSE,0.18421052631578946
automotivo,2017-07,105,3969,0.026455026455026454,7,1.0410372541736528,0.025412180350861447,0.030506509674642596,0.0009877918484444792,0.0009877918484444792,-5.1572903054458505,COLLAPSE,0.1523809523809524
automotivo,2017-09,96,4243,0.02262550082488805,9,0.6006848642476816,0.03766617434788373,0.028665372598022074,0.002809696125487835,0.002809696125487835,3.203478720781198,SURGE,0.13541666666666666
automotivo,2018-03,323,7188,0.04493600445186422,3,0.9785037124864258,0.04592318238392743,0.03726080370344676,0.0012402124545292923,0.0012402124545292923,6.984592558190662,SURGE,0.2260061919504644
automotivo,2018-07,326,6273,0.05196875498166746,7,1.0410372541736528,0.049920168344906014,0.04482583902112487,0.0009877918484446182,0.0013447751706337462,3.7882386848207203,SURGE,0.09202453987730061
bebes,2017-02,32,1733,0.018465089440276975,2,0.7595443053514865,0.024310746996822095,0.032626829142146374,0.0013091633467312849,0.0013091633467312849,-6.352211254682502,COLLAPSE,0.09375
bebes,2018-01,206,7220,0.02853185595567867,1,1.2087805859753242,0.02360383372029199,0.027797460498622632,0.0015614601453476798,0.0015614601453476798,-2.6857084958751063,COLLAPSE,0.23300970873786409
bebes,2018-02,167,6694,0.024947714371078577,2,0.7595443053514865,0.03284563414577084,0.026553871285871514,0.002456649679665268,0.002456649679665268,2.561115209864441,SURGE,0.2634730538922156
bebes,2018-03,216,7188,0.03005008347245409,3,0.8106145633991961,0.03707074216190167,0.02840146225216394,0.003778463936016161,0.003778463936016161,2.294392657053707,SURGE,0.28703703703703703
bebidas,2017-12,30,5624,0.005334281650071123,12,1.0,0.005334281650071123,0.001579486308721264,0.0007756326131286717,0.0007756326131286717,4.840945671693883,SURGE,0.03333333333333333
beleza_saude,2017-06,238,3217,0.07398197078023003,6,1.0044888700154384,0.07365135940141673,0.09223490328319005,0.006032436174786641,0.006032436174786641,-3.080603481466688,COLLAPSE,0.12605042016806722
