feature,psi,status
exp_bad,2.3298840579485556,UNSTABLE
approval_lag,1.714053678408596,UNSTABLE
delay_momentum,0.4168367744023076,UNSTABLE
tenure_days,0.3546104868657598,UNSTABLE
p90_delay,0.2711536074447365,UNSTABLE
bad_momentum,0.13145557096331503,WATCH
late_rate,0.12275187605645924,WATCH
carrier_lag,0.11664678477103448,WATCH
velocity_ratio,0.11621524502224974,WATCH
cross_state_rate,0.10698111458997321,WATCH
mean_delay,0.09871210341144822,STABLE
mean_delay_30,0.059477184723470765,STABLE
pct_inst_ge6,0.0584390286770313,STABLE
n_orders,0.053529287112336586,STABLE
mean_inst,0.05220670392456735,STABLE
n_cust,0.051543599170034295,STABLE
top_cust_share,0.0489391292852397,STABLE
multi_seller_rate,0.0485166969935207,STABLE
z_late_rate,0.045127807965968963,STABLE
n_products,0.041414233586957665,STABLE
badreview_rate,0.038109726983026074,STABLE
gmv,0.033529255051645224,STABLE
bad_rate,0.0334060112443539,STABLE
z_cancel_rate,0.030407901666348006,STABLE
photos_qty,0.029027208515342937,STABLE
cx_not_received,0.025724024647193967,STABLE
bad_rate_30,0.02236125551530722,STABLE
mean_review,0.021356562484260783,STABLE
desc_len,0.020143208665563506,STABLE
financed_value,0.02004945044796994,STABLE
n_categories,0.01885260657305992,STABLE
freight_ratio,0.016968349281225377,STABLE
cx_wrong_item,0.01636772504263347,STABLE
repeat_cust_rate,0.015710222468487068,STABLE
cx_late,0.015098614185595513,STABLE
n_cust_states,0.014245384070408504,STABLE
n_orders_30,0.01412332025400935,STABLE
z_bad_rate,0.012548170147977725,STABLE
z_mean_delay,0.011532456832460193,STABLE
resid_bad,0.006058062651074314,STABLE
mean_price,0.005853868005677744,STABLE
cx_damaged,0.004945710496145675,STABLE
z_mean_price,0.0035206155262748596,STABLE
cx_refund,0.003065420877003221,STABLE
review_cov,0.0003564142300985653,STABLE
cancel_rate,0.0,STABLE
cx_counterfeit,0.0,STABLE
