,importance
tenure_days,283
carrier_lag,256
desc_len,246
photos_qty,198
cross_state_rate,196
p90_delay,193
freight_ratio,193
z_mean_price,181
exp_bad,177
mean_review,170
mean_delay,166
mean_price,160
z_bad_rate,153
approval_lag,140
delay_momentum,139
mean_inst,138
financed_value,132
z_mean_delay,131
n_products,128
mean_delay_30,126
z_late_rate,123
cx_late,119
pct_inst_ge6,114
bad_momentum,113
velocity_ratio,107
review_cov,102
gmv,99
badreview_rate,93
n_categories,92
z_cancel_rate,91
cx_not_received,83
top_cust_share,83
n_orders_30,81
n_cust_states,76
resid_bad,76
n_orders,73
late_rate,69
cx_wrong_item,64
bad_rate_30,58
n_cust,54
cx_counterfeit,51
cx_damaged,51
multi_seller_rate,47
cx_refund,45
bad_rate,45
cancel_rate,43
repeat_cust_rate,42
