band,t,s,at_risk
CRITICAL,0,1.0,
CRITICAL,7,0.6364,55.0
CRITICAL,14,0.5455,35.0
CRITICAL,21,0.5273,30.0
CRITICAL,28,0.4708,28.0
CRITICAL,35,0.4331,25.0
CRITICAL,42,0.4143,23.0
CRITICAL,49,0.3936,20.0
CRITICAL,56,0.3729,19.0
CRITICAL,70,0.3521,18.0
CRITICAL,77,0.3314,17.0
CRITICAL,84,0.3107,16.0
CRITICAL,98,0.2885,14.0
CRITICAL,105,0.2885,11.0
CRITICAL,112,0.2885,10.0
CRITICAL,126,0.2885,9.0
CRITICAL,133,0.2164,4.0
CRITICAL,140,0.2164,3.0
CRITICAL,161,0.2164,2.0
HEALTHY,0,1.0,
HEALTHY,7,0.8715,498.0
HEALTHY,14,0.8225,409.0
HEALTHY,21,0.7862,363.0
HEALTHY,28,0.7572,325.0
HEALTHY,35,0.7275,306.0
HEALTHY,42,0.6843,286.0
HEALTHY,49,0.6553,260.0
HEALTHY,56,0.6286,245.0
HEALTHY,63,0.5901,229.0
HEALTHY,70,0.5791,213.0
HEALTHY,77,0.5585,197.0
HEALTHY,84,0.531,183.0
HEALTHY,91,0.5026,168.0
HEALTHY,98,0.4724,150.0
HEALTHY,105,0.4516,136.0
HEALTHY,112,0.4297,124.0
HEALTHY,119,0.4224,117.0
HEALTHY,126,0.3962,113.0
HEALTHY,133,0.3768,102.0
HEALTHY,140,0.3493,96.0
HEALTHY,147,0.3373,87.0
HEALTHY,154,0.3249,82.0
HEALTHY,161,0.3166,78.0
HEALTHY,168,0.3123,73.0
HEALTHY,175,0.3079,71.0
HIGH,0,1.0,
HIGH,7,0.7385,218.0
HIGH,14,0.6548,150.0
HIGH,21,0.5826,127.0
HIGH,28,0.5611,108.0
HIGH,35,0.5166,101.0
HIGH,42,0.4998,92.0
HIGH,49,0.4605,89.0
HIGH,56,0.4434,81.0
HIGH,63,0.4146,77.0
HIGH,70,0.3854,71.0
HIGH,77,0.3613,64.0
HIGH,84,0.3364,58.0
HIGH,91,0.3174,53.0
HIGH,105,0.3108,48.0
HIGH,112,0.3034,42.0
HIGH,119,0.2874,38.0
HIGH,126,0.2874,33.0
HIGH,133,0.2874,27.0
HIGH,140,0.2634,24.0
HIGH,147,0.2634,17.0
HIGH,154,0.2634,16.0
HIGH,168,0.2258,14.0
HIGH,175,0.2258,10.0
WATCH,0,1.0,
WATCH,7,0.8115,313.0
WATCH,14,0.769,248.0
WATCH,21,0.7276,223.0
WATCH,28,0.6769,201.0
WATCH,35,0.613,180.0
WATCH,42,0.5597,161.0
WATCH,49,0.5321,142.0
WATCH,56,0.5115,129.0
WATCH,63,0.4816,120.0
WATCH,70,0.4549,108.0
WATCH,77,0.4273,99.0
WATCH,84,0.4038,91.0
WATCH,91,0.3789,81.0
WATCH,98,0.3687,74.0
WATCH,105,0.3524,68.0
WATCH,112,0.3244,63.0
WATCH,119,0.2944,54.0
WATCH,126,0.2877,44.0
WATCH,133,0.2877,40.0
WATCH,140,0.2795,35.0
WATCH,147,0.2795,29.0
WATCH,154,0.2683,25.0
WATCH,161,0.2683,23.0
WATCH,168,0.2561,22.0
WATCH,175,0.2439,21.0
